dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,relative_f1,f1_drop_from_noise0
BGL,Full TeleMin-RAG,0.0,0.1,instruction,1,0.5619366000173613,7.492488000231485,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9032258064516129,0.9032258064516129,0.8603376261747302,0.08772849337757667,0.18700583473213334,0.09333333333333334,2.1466666666666665,161.0,0.0,0.0,0.0,0.0,154.36,11577.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.0,0.0,0.0,0.7614814814814814,0.7098787089013633,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.0,0.0
BGL,Full TeleMin-RAG,0.1,0.1,instruction,1,0.5619061000179499,7.492081333572666,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.913151364764268,0.913151364764268,0.8691159358917133,0.0838664855360555,0.17956410910907716,0.09333333333333334,2.1733333333333333,163.0,0.13333333333333333,10.0,0.0,0.0,152.94666666666666,11471.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.06134969325153374,0.0,0.0,0.13333333333333333,0.7826666666666666,0.7406804566519725,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.0,0.0
BGL,Full TeleMin-RAG,0.2,0.1,instruction,1,0.5949782999814488,7.933043999752651,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.9119106699751861,0.9119106699751861,0.8400116029412266,0.08677500675139789,0.17958277281217566,0.08,2.1866666666666665,164.0,0.24,18.0,0.0,0.0,149.96,11247.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.10975609756097561,0.0,0.0,0.12,0.8012121212121213,0.7685516730460551,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.0139860139860142,-0.010610079575596898
BGL,Full TeleMin-RAG,0.3,0.1,instruction,1,0.5512328999466263,7.34977199928835,0.9466666666666667,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9069478908188586,0.924317617866005,0.924317617866005,0.8807938856015778,0.07944236857541057,0.1770254241634852,0.05333333333333334,2.12,159.0,0.32,24.0,0.0,0.0,133.32,9999.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.1509433962264151,0.0,0.0,0.16,0.8072727272727273,0.7939285272659824,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.1153846153846154,-0.08753315649867377
BGL,Full TeleMin-RAG,0.4,0.1,instruction,1,0.5808301999932155,7.744402666576207,0.9333333333333333,0.8333333333333334,0.7692307692307693,0.8,0.88,0.8895781637717122,0.8895781637717122,0.8454747935680138,0.08272103814265354,0.1760588527685394,0.06666666666666667,2.1733333333333333,163.0,0.3466666666666667,26.0,0.0,0.0,145.61333333333334,10921.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,0.15950920245398773,0.0,0.0,0.11555555555555555,0.8188888888888889,0.7949570049941797,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.0545454545454547,-0.04137931034482767
BGL,Full TeleMin-RAG,0.5,0.1,instruction,1,0.5699520999914967,7.599361333219956,0.9466666666666667,1.0,0.6923076923076923,0.8181818181818182,0.8934659090909092,0.8498759305210918,0.8498759305210918,0.7888734117247767,0.08561686321485118,0.16033267741312351,0.05333333333333334,1.9333333333333333,145.0,0.4533333333333333,34.0,0.0,0.0,120.73333333333333,9055.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,0.23448275862068965,0.0,0.0,0.11333333333333333,0.8512820512820513,0.8432523196233208,0.0,7.715187399997376,1.8514285714285714,0.72,1,6,True,True,True,True,True,True,1.078512396694215,-0.05956112852664586
BGL,without poisoning penalty,0.0,0.1,instruction,1,0.5721027000108734,7.628036000144978,0.8933333333333333,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8333333333333333,0.859801488833747,0.859801488833747,0.8543329219799807,0.09740932049510707,0.2084512346799828,0.10666666666666667,3.1333333333333333,235.0,0.0,0.0,0.8133333333333334,61.0,192.76,14457.0,40.306666666666665,3023.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.25957446808510637,0.8133333333333334,0.0,0.6518518518518519,0.6377054931836408,0.20910285674759632,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0,0.0
BGL,without poisoning penalty,0.1,0.1,instruction,1,0.6612042999477126,8.816057332636168,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.8635235732009925,0.8635235732009925,0.8549894756984309,0.09149859187533721,0.19920325695610017,0.08,3.0,225.0,0.17333333333333334,13.0,0.8266666666666667,62.0,182.92,13719.0,40.85333333333333,3064.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.057777777777777775,0.27555555555555555,0.8266666666666667,0.17333333333333334,0.7,0.689860969820278,0.22333989357824915,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0714285714285714,-0.05238095238095242
BGL,without poisoning penalty,0.2,0.1,instruction,1,0.6354348000022583,8.47246400003011,0.9066666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8419150858175248,0.8337468982630273,0.8337468982630273,0.814065934065934,0.09869255121993208,0.19239731852156775,0.09333333333333334,3.08,231.0,0.29333333333333333,22.0,0.8266666666666667,62.0,184.24,13818.0,41.25333333333333,3094.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.09523809523809523,0.2683982683982684,0.8266666666666667,0.14666666666666667,0.72,0.7156439066551425,0.22391084093211752,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0101010101010102,-0.007407407407407418
BGL,without poisoning penalty,0.3,0.1,instruction,1,0.5931471000076272,7.908628000101696,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.8635235732009926,0.8635235732009926,0.8588872452876146,0.09318101716836591,0.20492993241345234,0.08,3.04,228.0,0.30666666666666664,23.0,0.8266666666666667,62.0,176.54666666666665,13241.0,40.88,3066.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.10087719298245613,0.2719298245614035,0.8266666666666667,0.15333333333333332,0.7236363636363636,0.7271134743003174,0.23155350804319916,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0714285714285714,-0.05238095238095242
BGL,without poisoning penalty,0.4,0.1,instruction,1,0.617885599960573,8.238474666140974,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.8486352357320098,0.8486352357320098,0.8243256687082599,0.09237125382473228,0.19385919918453598,0.08,3.066666666666667,230.0,0.41333333333333333,31.0,0.7866666666666666,59.0,180.2,13515.0,38.626666666666665,2897.0,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,0.13478260869565217,0.2565217391304348,0.7866666666666666,0.13777777777777778,0.7444444444444445,0.746254365213473,0.21435442101368848,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0489510489510492,-0.03589743589743599
BGL,without poisoning penalty,0.5,0.1,instruction,1,0.6591429999680258,8.788573332907012,0.92,0.8181818181818182,0.6923076923076923,0.75,0.8511904761904762,0.8660049627791563,0.8660049627791563,0.7941410441410441,0.09634850502260126,0.19050265260911972,0.08,2.986666666666667,224.0,0.52,39.0,0.8,60.0,172.92,12969.0,39.76,2982.0,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,0.17410714285714285,0.26785714285714285,0.8,0.13,0.7702564102564102,0.775498545907769,0.22993291695581772,6.360269600001629,1.8514285714285714,0.72,1,6,False,True,True,True,True,True,1.0227272727272727,-0.01666666666666672
BGL,without bootstrap robustness,0.0,0.1,instruction,1,0.5133517000358552,6.844689333811402,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.8982630272952853,0.8982630272952853,0.8630536130536131,0.09271450863392981,0.19889823839126933,0.09333333333333334,2.1466666666666665,161.0,0.0,0.0,0.0,0.0,153.64,11523.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.0,0.0,0.0,0.7614814814814814,0.7112319566960705,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,1.0,0.0
BGL,without bootstrap robustness,0.1,0.1,instruction,1,0.5262041999958456,7.016055999944608,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.9094292803970223,0.9094292803970223,0.8546955812736543,0.08867844712549329,0.19081488757009987,0.08,2.1733333333333333,163.0,0.12,9.0,0.0,0.0,155.42666666666668,11657.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.05521472392638037,0.0,0.0,0.12,0.7826666666666666,0.736475641460382,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,1.0139860139860142,-0.010610079575596898
BGL,without bootstrap robustness,0.2,0.1,instruction,1,0.5825701000285335,7.76760133371378,0.9066666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8419150858175248,0.901985111662531,0.901985111662531,0.8493669728963846,0.09084903184898238,0.19295835950915277,0.09333333333333334,2.2533333333333334,169.0,0.22666666666666666,17.0,0.0,0.0,157.24,11793.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.10059171597633136,0.0,0.0,0.11333333333333333,0.7951515151515152,0.7573157179898753,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,0.9764309764309764,0.017879948914431676
BGL,without bootstrap robustness,0.3,0.1,instruction,1,0.6425956999883056,8.56794266651074,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.9392059553349876,0.9392059553349876,0.8859887269920714,0.08671055799712062,0.1943474902616482,0.09333333333333334,2.2,165.0,0.25333333333333335,19.0,0.0,0.0,151.37333333333333,11353.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.11515151515151516,0.0,0.0,0.12666666666666668,0.8,0.766023659371007,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,1.0,0.0
BGL,without bootstrap robustness,0.4,0.1,instruction,1,0.5926098000491038,7.901464000654717,0.9066666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8419150858175248,0.901985111662531,0.901985111662531,0.8575828328084276,0.08996849297491433,0.19370658204453675,0.09333333333333334,2.2266666666666666,167.0,0.3333333333333333,25.0,0.0,0.0,149.01333333333332,11176.0,0.0,0.0,12.0,900.0,3.0,225.0,1.0,75.0,710.16,53262.0,50.14666666666667,3761.0,0.1497005988023952,0.0,0.0,0.1111111111111111,0.8144444444444444,0.7901693515076414,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,0.9764309764309764,0.017879948914431676
BGL,without bootstrap robustness,0.5,0.1,instruction,1,0.6107646999880672,8.143529333174229,0.92,0.8181818181818182,0.6923076923076923,0.75,0.8511904761904762,0.8883374689826303,0.8883374689826303,0.8150793650793651,0.08911943176742537,0.18480405740749037,0.08,2.1733333333333333,163.0,0.4533333333333333,34.0,0.0,0.0,142.58666666666667,10694.0,0.0,0.0,13.0,975.0,4.0,300.0,1.0,75.0,770.24,57768.0,50.06666666666667,3755.0,0.2085889570552147,0.0,0.0,0.11333333333333333,0.8328205128205128,0.8148802104971611,0.0,6.355696999991778,1.9028571428571428,0.72,1,6,True,False,True,True,True,True,0.9886363636363636,0.008620689655172376
BGL,without rarity,0.0,0.1,instruction,1,0.5154889000114053,6.873185333485405,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.8995037220843672,0.8995037220843672,0.8765182186234817,0.09039381125326594,0.20666957207401818,0.09333333333333334,2.066666666666667,155.0,0.0,0.0,0.0,0.0,143.93333333333334,10795.0,0.0,0.0,9.0,675.0,0.0,0.0,1.0,75.0,532.0533333333333,39904.0,50.333333333333336,3775.0,0.0,0.0,0.0,0.0,0.7703703703703704,0.7294757417802726,0.0,7.746980900003109,1.8457142857142856,0.72,1,6,True,True,False,True,True,True,1.0,0.0
BGL,without rarity,0.1,0.1,instruction,1,0.5541872999747284,7.389163999663045,0.9066666666666666,0.6875,0.8461538461538461,0.7586206896551724,0.8503847249928754,0.8945409429280397,0.8945409429280397,0.8588900134952766,0.08505473026016495,0.19765395294666271,0.09333333333333334,2.013333333333333,151.0,0.16,12.0,0.0,0.0,137.89333333333335,10342.0,0.0,0.0,10.0,750.0,1.0,75.0,1.0,75.0,589.8,44235.0,50.333333333333336,3775.0,0.07947019867549669,0.0,0.0,0.16,0.7986666666666666,0.7662032327342602,0.0,7.746980900003109,1.8457142857142856,0.72,1,6,True,True,False,True,True,True,1.0,0.0
BGL,without rarity,0.2,0.1,instruction,1,0.5736351000377908,7.648468000503878,0.92,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8604218362282878,0.892059553349876,0.892059553349876,0.848951048951049,0.08983823415642567,0.18985631841650694,0.08,2.1466666666666665,161.0,0.30666666666666664,23.0,0.0,0.0,139.77333333333334,10483.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,647.92,48594.0,50.81333333333333,3811.0,0.14285714285714285,0.0,0.0,0.15333333333333332,0.8048484848484848,0.7842737786558012,0.0,7.746980900003109,1.8457142857142856,0.72,1,6,True,True,False,True,True,True,1.0139860139860142,-0.010610079575596898
BGL,without rarity,0.3,0.1,instruction,1,0.6026976000284776,8.035968000379702,0.92,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8682669789227166,0.901985111662531,0.901985111662531,0.8721412793425887,0.08122422324662049,0.18239414497900466,0.08,1.9466666666666668,146.0,0.32,24.0,0.0,0.0,123.41333333333333,9256.0,0.0,0.0,11.0,825.0,2.0,150.0,1.0,75.0,646.96,48522.0,50.17333333333333,3763.0,0.1643835616438356,0.0,0.0,0.16,0.823030303030303,0.8092411689542888,0.0,7.746980900003109,1.8457142857142856,0.72,1,6,True,True,False,True,True,True,1.0357142857142858,-0.027093596059113323
