dataset,method,noise_level,poison_rate,poison_strategy,seed,downstream_model,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
HPC,Full Context,0.0,0.1,instruction,2,logistic,0.03536009998060763,1.5373956513307665,0.782608695652174,0.7,0.7777777777777778,0.7368421052631579,0.7758284600389863,0.8412698412698412,0.8412698412698412,0.7531625781625781,0.1930939066073493,0.18956829217451013,0.21739130434782608,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.12892943504066828,3.900029696524143e-06,8.0,,,,,,,,,,,,,,1.0,0.0
HPC,Full Context,0.5,0.1,instruction,2,logistic,0.0432861999142915,1.8820086919257175,0.6521739130434783,0.6,0.3333333333333333,0.42857142857142855,0.5892857142857143,0.8015873015873015,0.8015873015873015,0.6713582713582713,0.1978417072784517,0.2212319181968547,0.34782608695652173,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0914049715577028,3.900029696524143e-06,8.0,,,,,,,,,,,,,,0.5816326530612245,0.3082706766917293
HPC,Random-k Selection,0.0,0.1,instruction,2,logistic,0.017713399953208864,0.7701478240525593,0.8260869565217391,1.0,0.5555555555555556,0.7142857142857143,0.7946428571428572,0.9920634920634921,0.9920634920634921,0.9888888888888892,0.16198918341776325,0.3574819837384964,0.17391304347826086,3.0,69.0,0.0,0.0,0.17391304347826086,4.0,120.26086956521739,2766.0,9.130434782608695,210.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.057971014492753624,0.17391304347826086,0.0,0.6666666666666667,0.6959771378324906,0.07592190889370933,1.200009137392044e-06,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Random-k Selection,0.5,0.1,instruction,2,logistic,0.020526899956166744,0.8924739111376845,0.782608695652174,1.0,0.4444444444444444,0.6153846153846154,0.731934731934732,0.7380952380952381,0.7380952380952381,0.7441105735223383,0.19800432111228805,0.15964394456525524,0.21739130434782608,3.0,69.0,0.6956521739130435,16.0,0.30434782608695654,7.0,127.52173913043478,2933.0,16.043478260869566,369.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.2318840579710145,0.10144927536231885,0.30434782608695654,0.17391304347826086,0.7692307692307692,0.7714486090547806,0.12580975110808046,1.200009137392044e-06,3.0,,,,,,,,,,,,,,0.8615384615384616,0.09890109890109888
HPC,TF-IDF/BM25 Selection,0.0,0.1,instruction,2,logistic,0.05559020000509918,2.416965217613008,0.6956521739130435,0.625,0.5555555555555556,0.5882352941176471,0.6734279918864097,0.6904761904761905,0.6904761904761905,0.6768518518518518,0.22514590979314936,0.12216327676133423,0.30434782608695654,3.0,69.0,0.0,0.0,0.0,0.0,141.7391304347826,3260.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6416794899978018,0.0,0.06740649999119341,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,TF-IDF/BM25 Selection,0.5,0.1,instruction,2,logistic,0.04125430004205555,1.7936652192198064,0.5217391304347826,0.4,0.4444444444444444,0.42105263157894735,0.50682261208577,0.6111111111111112,0.6111111111111112,0.5914221580888247,0.23907092109436434,0.14682898580864828,0.4782608695652174,3.0,69.0,0.782608695652174,18.0,0.0,0.0,142.30434782608697,3273.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.2608695652173913,0.0,0.0,0.1956521739130435,0.7692307692307692,0.744954414400374,0.0,0.06740649999119341,3.0,,,,,,,,,,,,,,0.7157894736842104,0.16718266253869973
HPC,Mutual Information Feature Selection,0.0,0.1,instruction,2,logistic,0.04449529992416501,1.9345782575723918,0.6521739130434783,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6349206349206349,0.7777777777777778,0.7777777777777778,0.7412309368191723,0.1972939224401231,0.16192788145677198,0.34782608695652173,3.0,69.0,0.0,0.0,0.0,0.0,141.3913043478261,3252.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6425588041327764,0.0,3.244915899937041,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Mutual Information Feature Selection,0.5,0.1,instruction,2,logistic,0.05353700008708984,2.3276956559604276,0.7391304347826086,0.8,0.4444444444444444,0.5714285714285714,0.6919642857142857,0.7777777777777778,0.7777777777777778,0.7664021164021164,0.18590813088021266,0.12370084397677425,0.2608695652173913,3.0,69.0,0.7391304347826086,17.0,0.0,0.0,151.2173913043478,3478.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.2463768115942029,0.0,0.0,0.18478260869565216,0.7692307692307692,0.7289799735058053,0.0,3.244915899937041,3.0,,,,,,,,,,,,,,1.0285714285714285,-0.015873015873015817
HPC,Embedding Similarity Selection,0.0,0.1,instruction,2,logistic,0.25832380005158484,11.231469567460211,0.6521739130434783,0.5454545454545454,0.6666666666666666,0.6,0.6461538461538461,0.746031746031746,0.746031746031746,0.6839271839271839,0.21528590018155608,0.14962325739538737,0.34782608695652173,3.0,69.0,0.0,0.0,1.0,23.0,146.04347826086956,3359.0,51.0,1173.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6307979775774896,0.34921107472462043,0.23937950003892183,3.0,,,,,,,,,,,,,,1.0,0.0
HPC,Embedding Similarity Selection,0.5,0.1,instruction,2,logistic,0.34609080001246184,15.04742608749834,0.5652173913043478,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5436507936507937,0.6349206349206349,0.6349206349206349,0.5179012345679013,0.23591133288057184,0.09811462229288623,0.43478260869565216,3.0,69.0,0.4782608695652174,11.0,1.0,23.0,156.47826086956522,3599.0,51.0,1173.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.15942028985507245,0.3333333333333333,1.0,0.11956521739130435,0.7692307692307692,0.7195511571729136,0.32592386774103915,0.23937950003892183,3.0,,,,,,,,,,,,,,0.7407407407407407,0.15555555555555556
HPC,TeleMin-RAG,0.0,0.1,instruction,2,logistic,0.41620180010795593,18.095730439476345,0.7391304347826086,0.6363636363636364,0.7777777777777778,0.7,0.7346153846153847,0.8134920634920635,0.8134920634920635,0.769298245614035,0.1978342137224864,0.16863174916177082,0.2608695652173913,3.8260869565217392,88.0,0.0,0.0,0.0,0.0,171.3913043478261,3942.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.0,0.0,0.0,0.5748792270531401,0.5667179599912069,0.0,3.2932148999534547,3.576923076923077,0.72,1.0,6.0,True,True,True,True,True,True,,,,,1.0,0.0
HPC,TeleMin-RAG,0.5,0.1,instruction,2,logistic,0.5404215999878943,23.496591303821493,0.782608695652174,0.7,0.7777777777777778,0.7368421052631579,0.7758284600389863,0.8214285714285714,0.8214285714285714,0.77418225049804,0.1951614449717826,0.1690830924715017,0.21739130434782608,3.8260869565217392,88.0,0.9565217391304348,22.0,0.0,0.0,168.0,3864.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.25,0.0,0.0,0.2391304347826087,0.705685618729097,0.6989012701628614,0.0,3.2932148999534547,3.576923076923077,0.72,1.0,6.0,True,True,True,True,True,True,,,,,1.0526315789473684,-0.0368421052631579
HPC,Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.0,0.1,instruction,2,,10.228272799984552,444.7075130428066,0.391304347826087,0.391304347826087,1.0,0.5625,0.28125,0.123015873015873,0.876984126984127,0.2689222431762926,0.5509913043478261,0.5530434782608694,0.6086956521739131,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.12892943504066828,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,zero-shot-full,3.0,1.0,0.0
HPC,Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.5,0.1,instruction,2,,11.720975800068118,509.6076434812225,0.21739130434782608,0.2,0.3333333333333333,0.25,0.2159090909090909,0.13492063492063494,0.8650793650793651,0.27988019892044663,0.6601739130434783,0.7165217391304348,0.782608695652174,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0914049715577028,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,zero-shot-full,3.0,0.4444444444444444,0.3125
HPC,Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.0,0.1,instruction,2,,10.800764000043273,469.5984347844901,0.21739130434782608,0.2631578947368421,0.5555555555555556,0.35714285714285715,0.17857142857142858,0.003968253968253966,0.996031746031746,0.25787515377523007,0.6907913043478259,0.7495652173913046,0.782608695652174,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.12892943504066828,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-full,3.0,1.0,0.0
HPC,Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.5,0.1,instruction,2,,13.406385100097395,582.8863086998867,0.43478260869565216,0.4090909090909091,1.0,0.5806451612903226,0.35698924731182796,0.22222222222222224,0.7777777777777778,0.3234769616348564,0.4980521739130434,0.5156521739130434,0.5652173913043478,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.0914049715577028,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-full,3.0,1.6258064516129034,-0.22350230414746547
HPC,Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.0,0.1,instruction,2,,11.018440100015141,479.0626130441366,0.7391304347826086,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7386363636363636,0.7896825396825398,0.7896825396825398,0.7577639751552796,0.23199999999999998,0.21652173913043476,0.2608695652173913,3.0,69.0,0.0,0.0,0.0,0.0,141.7391304347826,3260.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6416794899978018,0.0,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-bm25,3.0,1.0,0.0
HPC,Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.5,0.1,instruction,2,,11.979793199920096,520.8605739095693,0.6956521739130435,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6933333333333334,0.7301587301587302,0.7301587301587302,0.5565998329156223,0.2564260869565218,0.22000000000000003,0.30434782608695654,3.0,69.0,0.782608695652174,18.0,0.0,0.0,142.30434782608697,3273.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.2608695652173913,0.0,0.0,0.1956521739130435,0.7692307692307692,0.744954414400374,0.0,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-bm25,3.0,0.9166666666666666,0.06060606060606066
HPC,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.0,0.1,instruction,2,,19.69547649996821,856.3250652160091,0.7391304347826086,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7386363636363636,0.861111111111111,0.861111111111111,0.7693602693602695,0.23907391304347825,0.20913043478260862,0.2608695652173913,3.8260869565217392,88.0,0.0,0.0,0.0,0.0,171.3913043478261,3942.0,0.0,0.0,9.0,207.0,0.0,0.0,1.0,23.0,395.5652173913044,9098.0,51.0,1173.0,0.0,0.0,0.0,0.0,0.5748792270531401,0.5667179599912069,0.0,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-telemin,3.0,1.0,0.0
HPC,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.5,0.1,instruction,2,,9.392188799916767,408.35603477898985,0.7391304347826086,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.7386363636363636,0.8333333333333334,0.8333333333333334,0.7444305207463102,0.22880000000000003,0.19826086956521732,0.2608695652173913,3.8260869565217392,88.0,0.9565217391304348,22.0,0.0,0.0,168.0,3864.0,0.0,0.0,13.0,299.0,4.0,92.0,1.0,23.0,557.9565217391304,12833.0,51.0,1173.0,0.25,0.0,0.0,0.2391304347826087,0.705685618729097,0.6989012701628614,0.0,0.0,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-telemin,3.0,1.0,0.0
