dataset,method,noise_level,poison_rate,poison_strategy,seed,eval_seconds,latency_per_context_ms,accuracy,precision,recall,f1,f1_macro,auroc,auroc_oriented,auprc,brier,ece,attack_success_rate,avg_selected_logs,sum_selected_logs,avg_selected_noise,sum_selected_noise,avg_selected_poison,sum_selected_poison,avg_selected_tokens,sum_selected_tokens,avg_selected_poison_tokens,sum_selected_poison_tokens,avg_total_logs,sum_total_logs,avg_total_noise,sum_total_noise,avg_total_poison,sum_total_poison,avg_total_tokens,sum_total_tokens,avg_total_poison_tokens,sum_total_poison_tokens,noise_selected_rate,poison_selected_rate,poison_event_selection_rate,noise_event_selection_rate,context_reduction,token_reduction,poison_token_selected_rate,selector_fit_seconds,train_avg_selected_logs,used_shap,telemin_stop_threshold,telemin_min_k,telemin_max_k,telemin_use_poison_penalty,telemin_use_stability,telemin_use_rarity,telemin_use_semantic,telemin_use_redundancy,telemin_adaptive_k,llm_model,llm_provider,llm_baseline,llm_batches,relative_f1,f1_drop_from_noise0
BGL,Full Context,0.0,0.1,instruction,13,0.025694600015413016,0.676173684616132,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.9739583333333334,0.9739583333333334,0.9242424242424242,0.08240784454999277,0.2310073894595126,0.02631578947368421,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0993363749481543,1.9000144675374031e-06,8.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Full Context,0.5,0.1,instruction,13,0.03980019997106865,1.047373683449175,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,0.9427083333333334,0.9427083333333334,0.892156862745098,0.09656010736132385,0.2473004430612845,0.05263157894736842,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06713543691035652,1.9000144675374031e-06,8.0,,,,,,,,,,,,,,,0.8800000000000001,0.10909090909090902
BGL,Random-k Selection,0.0,0.1,instruction,13,0.014408899995032698,0.37918157881664993,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.9947916666666666,0.9947916666666666,0.976190476190476,0.0806090477174145,0.2450551951844211,0.02631578947368421,3.0,114.0,0.0,0.0,0.4473684210526316,17.0,169.26315789473685,6432.0,22.289473684210527,847.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.14912280701754385,0.4473684210526316,0.0,0.6666666666666667,0.6665284114475322,0.13168532338308458,1.400010660290718e-06,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Random-k Selection,0.5,0.1,instruction,13,0.01787109998986125,0.47029210499634866,0.9210526315789473,0.8,0.6666666666666666,0.7272727272727273,0.8405594405594405,0.9479166666666667,0.9479166666666667,0.8722222222222222,0.09833363473782711,0.22165041400540691,0.07894736842105263,3.0,114.0,1.0526315789473684,40.0,0.02631578947368421,1.0,176.31578947368422,6700.0,1.2894736842105263,49.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3508771929824561,0.008771929824561403,0.02631578947368421,0.2631578947368421,0.7692307692307692,0.7632592487897955,0.007313432835820896,1.400010660290718e-06,3.0,,,,,,,,,,,,,,,0.8,0.18181818181818177
BGL,TF-IDF/BM25 Selection,0.0,0.1,instruction,13,0.03179880004609004,0.8368105275286851,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,1.0,1.0,1.0,0.08614562711798504,0.2784605562654531,0.05263157894736842,3.0,114.0,0.0,0.0,0.6578947368421053,25.0,173.71052631578948,6601.0,32.23684210526316,1225.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.21929824561403508,0.6578947368421053,0.0,0.6666666666666667,0.6577664869348818,0.1855779427359491,0.018380099965725094,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,TF-IDF/BM25 Selection,0.5,0.1,instruction,13,0.036252700025215745,0.9540184217162038,0.868421052631579,0.6,0.5,0.5454545454545454,0.7342657342657343,0.9322916666666666,0.9322916666666666,0.7694805194805194,0.1288093229066604,0.26812335289820916,0.13157894736842105,3.0,114.0,1.2105263157894737,46.0,0.6578947368421053,25.0,196.97368421052633,7485.0,32.23684210526316,1225.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.40350877192982454,0.21929824561403508,0.6578947368421053,0.3026315789473684,0.7692307692307692,0.7355217130136744,0.16366065464261856,0.018380099965725094,3.0,,,,,,,,,,,,,,,0.6818181818181818,0.25454545454545463
BGL,Mutual Information Feature Selection,0.0,0.1,instruction,13,0.033017000008840114,0.8688684212852662,0.9210526315789473,1.0,0.5,0.6666666666666666,0.8109452736318408,0.9895833333333334,0.9895833333333334,0.9583333333333333,0.0788709195981195,0.22052071297260348,0.07894736842105263,3.0,114.0,0.0,0.0,0.02631578947368421,1.0,171.78947368421052,6528.0,1.2894736842105263,49.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.008771929824561403,0.02631578947368421,0.0,0.6666666666666667,0.6615512235586893,0.007506127450980392,4.042349900002591,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Mutual Information Feature Selection,0.5,0.1,instruction,13,0.04294830001890659,1.1302184215501736,0.8947368421052632,1.0,0.3333333333333333,0.5,0.7205882352941176,0.859375,0.859375,0.7262922262922262,0.09640955714172321,0.12474183811689231,0.10526315789473684,3.0,114.0,1.131578947368421,43.0,0.0,0.0,158.5,6023.0,0.0,0.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.37719298245614036,0.0,0.0,0.28289473684210525,0.7692307692307692,0.7871806649941698,0.0,4.042349900002591,3.0,,,,,,,,,,,,,,,0.75,0.16666666666666663
BGL,Embedding Similarity Selection,0.0,0.1,instruction,13,0.23083100002259016,6.074500000594478,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.8333333333333334,0.8333333333333334,0.8596491228070176,0.0925345164581871,0.23804583623688533,0.02631578947368421,3.0,114.0,0.0,0.0,1.0,38.0,164.57894736842104,6254.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666667,0.6757569473247615,0.30636392708666454,0.21553200000198558,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,Embedding Similarity Selection,0.5,0.1,instruction,13,0.23532979999436066,6.192889473535807,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.84375,0.84375,0.8611111111111112,0.11111945430941683,0.2669274546875431,0.02631578947368421,3.0,114.0,0.9736842105263158,37.0,1.0,38.0,171.6315789473684,6522.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.32456140350877194,0.3333333333333333,1.0,0.24342105263157895,0.7692307692307692,0.7695487791950815,0.2913216804661147,0.21553200000198558,3.0,,,,,,,,,,,,,,,1.0,0.0
BGL,SHAP-based Selection,0.0,0.1,instruction,13,0.0468921999563463,1.2340052620091133,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,0.8333333333333334,0.8333333333333334,0.8596491228070176,0.09525063487879375,0.22343130318284374,0.05263157894736842,3.0,114.0,0.0,0.0,0.10526315789473684,4.0,166.68421052631578,6334.0,5.157894736842105,196.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.03508771929824561,0.10526315789473684,0.0,0.6666666666666667,0.6716092907507258,0.030944111146195136,0.9342058000038378,3.0,True,,,,,,,,,,,,,,1.0,0.0
BGL,SHAP-based Selection,0.5,0.1,instruction,13,0.05751610000152141,1.5135815789874054,0.8947368421052632,1.0,0.3333333333333333,0.5,0.7205882352941176,0.75,0.75,0.6753557744937054,0.10606457925601191,0.16475628927605396,0.10526315789473684,3.0,114.0,1.0526315789473684,40.0,0.0,0.0,151.6315789473684,5762.0,0.0,0.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3508771929824561,0.0,0.0,0.2631578947368421,0.7692307692307692,0.7964029539592241,0.0,0.9342058000038378,3.0,True,,,,,,,,,,,,,,0.625,0.30000000000000004
BGL,TeleMin-RAG,0.0,0.1,instruction,13,0.4318437000038102,11.364307894837111,0.9736842105263158,1.0,0.8333333333333334,0.9090909090909091,0.9468531468531469,0.8489583333333334,0.8489583333333334,0.861904761904762,0.06914862632532635,0.18252178675517525,0.02631578947368421,2.3421052631578947,89.0,0.0,0.0,0.0,0.0,143.89473684210526,5468.0,0.0,0.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.0,0.0,0.0,0.739766081871345,0.716507673164662,0.0,5.087831200042274,2.4482758620689653,,0.72,1.0,6.0,True,True,True,True,True,True,,,,,1.0,0.0
BGL,TeleMin-RAG,0.5,0.1,instruction,13,0.4339559999643825,11.419894735904803,0.9473684210526315,1.0,0.6666666666666666,0.8,0.8848484848484849,0.8645833333333334,0.8645833333333334,0.8645833333333333,0.06433813030295556,0.1699099293486101,0.05263157894736842,1.736842105263158,66.0,0.39473684210526316,15.0,0.0,0.0,95.92105263157895,3645.0,0.0,0.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.22727272727272727,0.0,0.0,0.09868421052631579,0.8663967611336032,0.8712059644535529,0.0,5.087831200042274,2.4482758620689653,,0.72,1.0,6.0,True,True,True,True,True,True,,,,,0.8800000000000001,0.10909090909090902
BGL,Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.0,0.1,instruction,13,22.31706759997178,587.2912526308363,0.13157894736842105,0.13513513513513514,0.8333333333333334,0.23255813953488372,0.11627906976744186,0.19010416666666666,0.8098958333333334,0.11166899982689456,0.7710263157894736,0.813157894736842,0.868421052631579,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0993363749481543,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,zero-shot-full,5.0,1.0,0.0
BGL,Ollama LLM zero-shot Full Context (gpt-oss:20b-cloud),0.5,0.1,instruction,13,31.857302200049162,838.3500578960305,0.15789473684210525,0.09375,0.5,0.15789473684210525,0.15789473684210525,0.21614583333333334,0.7838541666666666,0.11685339065505718,0.7347605263157895,0.771315789473684,0.8421052631578947,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06713543691035652,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,zero-shot-full,5.0,0.6789473684210526,0.07466340269277846
BGL,Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.0,0.1,instruction,13,19.78026910003973,520.5333973694666,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.13636363636363635,0.45833333333333337,0.5416666666666666,0.2052107170099161,0.7416105263157896,0.7857894736842106,0.8421052631578947,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0993363749481543,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-full,5.0,1.0,0.0
BGL,Ollama LLM few-shot Full Context (gpt-oss:20b-cloud),0.5,0.1,instruction,13,69.72704809997231,1834.9223184203238,0.47368421052631576,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.43452380952380953,0.45833333333333337,0.5416666666666666,0.14702460011384497,0.4901921052631579,0.5013157894736842,0.5263157894736842,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.3076923076923077,0.07692307692307693,1.0,1.0,0.0,0.0,0.06713543691035652,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-full,5.0,1.0476190476190477,-0.012987012987012991
BGL,Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.0,0.1,instruction,13,31.235552900005132,821.9882342106614,0.3157894736842105,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.3081232492997199,0.26822916666666663,0.7317708333333334,0.12110545972775075,0.6167105263157895,0.6557894736842104,0.6842105263157895,3.0,114.0,0.0,0.0,0.6578947368421053,25.0,173.71052631578948,6601.0,32.23684210526316,1225.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.21929824561403508,0.6578947368421053,0.0,0.6666666666666667,0.6577664869348818,0.1855779427359491,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-bm25,5.0,1.0,0.0
BGL,Ollama LLM few-shot BM25-selected context (gpt-oss:20b-cloud),0.5,0.1,instruction,13,55.07237690000329,1449.273076315876,0.4473684210526316,0.2,0.8333333333333334,0.3225806451612903,0.42795698924731185,0.5286458333333333,0.5286458333333333,0.18639413705203178,0.4948894736842105,0.5257894736842106,0.5526315789473685,3.0,114.0,1.2105263157894737,46.0,0.6578947368421053,25.0,196.97368421052633,7485.0,32.23684210526316,1225.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.40350877192982454,0.21929824561403508,0.6578947368421053,0.3026315789473684,0.7692307692307692,0.7355217130136744,0.16366065464261856,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-bm25,5.0,1.3709677419354838,-0.0872865275142315
BGL,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.0,0.1,instruction,13,41.44678140000906,1090.7047736844488,0.868421052631579,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.7923497267759563,0.8281250000000001,0.8281250000000001,0.6513157894736843,0.10583684210526316,0.11842105263157893,0.13157894736842105,2.3421052631578947,89.0,0.0,0.0,0.0,0.0,143.89473684210526,5468.0,0.0,0.0,9.0,342.0,0.0,0.0,1.0,38.0,507.57894736842104,19288.0,50.421052631578945,1916.0,0.0,0.0,0.0,0.0,0.739766081871345,0.716507673164662,0.0,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-telemin,5.0,1.0,0.0
BGL,Ollama LLM few-shot TeleMin-selected context (gpt-oss:20b-cloud),0.5,0.1,instruction,13,15.800770600035321,415.80975263250843,0.9210526315789473,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8608058608058609,0.9114583333333334,0.9114583333333334,0.7701587301587303,0.07464473684210524,0.06868421052631583,0.07894736842105263,1.736842105263158,66.0,0.39473684210526316,15.0,0.0,0.0,95.92105263157895,3645.0,0.0,0.0,13.0,494.0,4.0,152.0,1.0,38.0,744.7631578947369,28301.0,50.0,1900.0,0.22727272727272727,0.0,0.0,0.09868421052631579,0.8663967611336032,0.8712059644535529,0.0,0.0,,,,,,,,,,,,gpt-oss:20b-cloud,ollama,few-shot-telemin,5.0,1.153846153846154,-0.10256410256410264
